,user_id,item_id,rating
8738,652,Facial expression,2
8759,673,Facial expression,1
8785,701,Facial expression,1
8788,705,Facial expression,1
8791,709,Facial expression,2
8793,712,Facial expression,2
8830,754,Facial expression,1
8845,771,Facial expression,1
8848,774,Facial expression,2
8854,780,Facial expression,2
8869,796,Facial expression,2
8874,801,Facial expression,1
8878,805,Facial expression,1
8879,806,Facial expression,2
8896,825,Facial expression,1
8902,831,Facial expression,1
8904,833,Facial expression,1
8911,841,Facial expression,2
8913,844,Facial expression,1
8926,858,Facial expression,1
8929,861,Facial expression,1
8934,866,Facial expression,1
8938,870,Facial expression,2
8945,878,Facial expression,1
8950,883,Facial expression,2
8952,885,Facial expression,1
8967,902,Facial expression,2
8972,907,Facial expression,1
8984,919,Facial expression,1
8998,935,Facial expression,1
9018,958,Facial expression,2
9030,970,Facial expression,2
9032,972,Facial expression,2
9036,976,Facial expression,2
9046,986,Facial expression,2
9055,996,Facial expression,1
9058,999,Facial expression,1
9063,1004,Facial expression,1
9066,1007,Facial expression,1
9067,1008,Facial expression,2
9070,1012,Facial expression,2
9093,1038,Facial expression,2
9102,1047,Facial expression,1
9119,1066,Facial expression,1
9138,1087,Facial expression,2
9145,1094,Facial expression,2
9153,1103,Facial expression,2
9156,1107,Facial expression,1
9162,1113,Facial expression,2
9169,1120,Facial expression,1
9174,1127,Facial expression,1
9183,1141,Facial expression,1
9197,1160,Facial expression,1
9205,1174,Facial expression,1
9213,1183,Facial expression,2
9216,1187,Facial expression,2
9224,1197,Facial expression,1
9335,181,Cable,2
9368,219,Cable,2
9556,419,Cable,1
9563,426,Cable,1
9582,446,Cable,1
9867,766,Cable,1
9967,874,Cable,2
9991,901,Cable,1
10065,980,Cable,2
10091,1007,Cable,1
10370,192,Small to medium-sized cats,1
10566,403,Small to medium-sized cats,2
10655,500,Small to medium-sized cats,1
10681,528,Small to medium-sized cats,2
10726,576,Small to medium-sized cats,1
10787,651,Small to medium-sized cats,1
10875,747,Small to medium-sized cats,2
11034,919,Small to medium-sized cats,1
11058,946,Small to medium-sized cats,2
11193,1092,Small to medium-sized cats,1
11228,1136,Small to medium-sized cats,1
11276,26,Carmine,2
11280,32,Carmine,1
11295,49,Carmine,2
11313,68,Carmine,2
11321,76,Carmine,2
11333,125,Carmine,2
11348,142,Carmine,1
11352,146,Carmine,2
11379,175,Carmine,1
11387,184,Carmine,2
11391,188,Carmine,1
11415,216,Carmine,1
11453,257,Carmine,2
11464,269,Carmine,2
11487,293,Carmine,1
11494,300,Carmine,2
11522,330,Carmine,1
11560,371,Carmine,1
11564,375,Carmine,2
11577,389,Carmine,1
11595,408,Carmine,2
11597,410,Carmine,1
11600,413,Carmine,1
11607,420,Carmine,1
11620,433,Carmine,1
11627,441,Carmine,1
11632,446,Carmine,1
11635,449,Carmine,1
11644,459,Carmine,1
11654,471,Carmine,2
11664,484,Carmine,1
11665,485,Carmine,1
11670,490,Carmine,1
11698,520,Carmine,1
11703,525,Carmine,1
11728,551,Carmine,1
11756,581,Carmine,1
11762,593,Carmine,2
11768,600,Carmine,2
11782,616,Carmine,1
11783,618,Carmine,1
11813,652,Carmine,1
11814,653,Carmine,2
11835,674,Carmine,1
11874,718,Carmine,2
11883,728,Carmine,1
11895,742,Carmine,2
11910,759,Carmine,1
11914,763,Carmine,1
11918,767,Carmine,2
11945,797,Carmine,1
11956,808,Carmine,2
11963,816,Carmine,2
11973,827,Carmine,2
11992,848,Carmine,2
12010,867,Carmine,1
12023,881,Carmine,2
12025,883,Carmine,2
12044,904,Carmine,1
12046,906,Carmine,1
12054,914,Carmine,2
12059,919,Carmine,2
12069,931,Carmine,1
12107,972,Carmine,2
12122,987,Carmine,1
12128,994,Carmine,2
12131,997,Carmine,2
12134,1000,Carmine,2
12147,1014,Carmine,2
12150,1017,Carmine,1
12190,1062,Carmine,2
12199,1071,Carmine,1
12210,1084,Carmine,1
12223,1098,Carmine,2
12229,1104,Carmine,2
12231,1107,Carmine,1
12260,1143,Carmine,1
12267,1154,Carmine,1
12486,266,Car seat,2
12648,436,Car seat,2
12742,540,Car seat,1
12759,558,Car seat,1
12776,576,Car seat,1
12890,707,Car seat,1
12915,736,Car seat,2
12942,766,Car seat,1
13005,834,Car seat,2
13204,1049,Car seat,1
13420,166,Beach,1
13494,247,Beach,1
13581,341,Beach,1
13719,489,Beach,1
13813,594,Beach,1
13953,751,Beach,2
14087,896,Beach,1
14129,942,Beach,1
14243,1065,Beach,1
14257,1080,Beach,1
14368,45,Trunk,2
14380,60,Trunk,2
14382,62,Trunk,2
14386,66,Trunk,2
14391,71,Trunk,2
14429,148,Trunk,2
14489,215,Trunk,2
14730,473,Trunk,2
14736,480,Trunk,2
14846,603,Trunk,2
14905,669,Trunk,2
15017,794,Trunk,2
15049,828,Trunk,1
15098,881,Trunk,2
15122,907,Trunk,2
15155,943,Trunk,2
15197,987,Trunk,2
15239,1033,Trunk,1
15262,1059,Trunk,1
15430,121,Home appliance,1
15464,159,Home appliance,1
15471,167,Home appliance,2
15479,175,Home appliance,1
15488,185,Home appliance,1
15519,220,Home appliance,1
15530,232,Home appliance,2
15552,256,Home appliance,1
15594,300,Home appliance,2
15637,347,Home appliance,1
15643,354,Home appliance,1
15670,382,Home appliance,1
15681,393,Home appliance,2
15707,420,Home appliance,1
15735,449,Home appliance,1
15745,460,Home appliance,1
15764,484,Home appliance,1
15766,486,Home appliance,2
15767,487,Home appliance,1
15777,497,Home appliance,1
15783,503,Home appliance,1
15798,520,Home appliance,1
15801,523,Home appliance,1
15846,571,Home appliance,1
15927,666,Home appliance,1
15933,672,Home appliance,2
15948,688,Home appliance,1
15970,714,Home appliance,2
15983,728,Home appliance,2
15994,741,Home appliance,2
15997,744,Home appliance,1
15999,746,Home appliance,1
16007,756,Home appliance,2
16056,808,Home appliance,2
16060,812,Home appliance,1
16125,883,Home appliance,2
16152,912,Home appliance,2
16175,937,Home appliance,1
16199,964,Home appliance,1
16204,969,Home appliance,1
16262,1031,Home appliance,2
16290,1062,Home appliance,2
16296,1068,Home appliance,2
16298,1070,Home appliance,1
16305,1078,Home appliance,2
16367,1154,Home appliance,1
16370,1158,Home appliance,1
16379,1173,Home appliance,2
16464,132,Fruit,1
16545,221,Fruit,1
16592,273,Fruit,2
16607,288,Fruit,2
16653,338,Fruit,2
16661,346,Fruit,2
16752,441,Fruit,2
16783,476,Fruit,1
16841,539,Fruit,2
16970,685,Fruit,2
17011,731,Fruit,2
17109,838,Fruit,1
17233,973,Fruit,2
17269,1011,Fruit,2
17276,1018,Fruit,2
17289,1033,Fruit,1
17313,1060,Fruit,2
17349,1099,Fruit,2
17351,1101,Fruit,2
17481,122,Telephony,1
17487,129,Telephony,2
17496,139,Telephony,1
17524,170,Telephony,1
17536,182,Telephony,1
17563,214,Telephony,1
17570,221,Telephony,1
17581,233,Telephony,2
17616,271,Telephony,1
17621,277,Telephony,2
17628,284,Telephony,1
17630,286,Telephony,1
17640,296,Telephony,1
17656,313,Telephony,2
17659,316,Telephony,1
17665,323,Telephony,1
17680,340,Telephony,2
17722,384,Telephony,2
17747,410,Telephony,2
17755,418,Telephony,1
17760,423,Telephony,2
17813,482,Telephony,1
17887,561,Telephony,1
17917,599,Telephony,1
17920,602,Telephony,2
17940,625,Telephony,1
17953,641,Telephony,2
18030,724,Telephony,1
18047,744,Telephony,1
18071,772,Telephony,2
18110,812,Telephony,1
18133,837,Telephony,2
18137,842,Telephony,2
18149,856,Telephony,1
18188,898,Telephony,1
18189,899,Telephony,1
18192,902,Telephony,1
18203,913,Telephony,2
18226,938,Telephony,1
18259,974,Telephony,1
18295,1012,Telephony,1
18360,1084,Telephony,2
18366,1090,Telephony,1
18370,1094,Telephony,1
18377,1102,Telephony,1
18382,1108,Telephony,2
18389,1115,Telephony,2
18396,1124,Telephony,2
18433,1178,Telephony,2
18438,1183,Telephony,2
18458,35,Working animal,2
18459,36,Working animal,1
18460,37,Working animal,1
18463,40,Working animal,1
18469,47,Working animal,1
18534,153,Working animal,1
18539,159,Working animal,1
18540,160,Working animal,2
18557,178,Working animal,2
18567,189,Working animal,1
18642,273,Working animal,2
18643,274,Working animal,1
18656,287,Working animal,1
18753,390,Working animal,2
18780,418,Working animal,2
18789,427,Working animal,1
18808,447,Working animal,1
18826,468,Working animal,1
18850,495,Working animal,2
18924,574,Working animal,1
18972,635,Working animal,1
19034,700,Working animal,1
19042,710,Working animal,1
19071,743,Working animal,1
19075,747,Working animal,1
19090,764,Working animal,2
19102,778,Working animal,1
19133,810,Working animal,1
19160,840,Working animal,2
19184,866,Working animal,2
19195,878,Working animal,1
19212,896,Working animal,1
19236,922,Working animal,1
19262,950,Working animal,2
19277,967,Working animal,2
19306,997,Working animal,1
19341,1036,Working animal,2
19391,1090,Working animal,2
19428,1136,Working animal,1
19430,1138,Working animal,1
19452,1170,Working animal,1
19459,1179,Working animal,1
19554,148,Chair,2
19584,180,Chair,1
19614,215,Chair,2
19624,225,Chair,1
19685,291,Chair,1
19686,292,Chair,1
19698,305,Chair,2
19721,329,Chair,2
19757,368,Chair,1
19819,432,Chair,1
19855,473,Chair,2
19861,480,Chair,2
19873,493,Chair,1
19952,577,Chair,1
19971,603,Chair,2
20014,653,Chair,1
20020,659,Chair,1
20030,669,Chair,2
20066,709,Chair,1
20091,737,Chair,2
20108,757,Chair,1
20124,775,Chair,1
20142,794,Chair,2
20154,806,Chair,1
20157,809,Chair,1
20174,828,Chair,1
20223,881,Chair,2
20247,907,Chair,2
20267,928,Chair,1
20324,989,Chair,1
20673,251,Cleat,1
20682,262,Cleat,1
20725,307,Cleat,1
20872,462,Cleat,1
20969,569,Cleat,1
21073,688,Cleat,1
21203,832,Cleat,1
21260,894,Cleat,2
21323,963,Cleat,2
21491,1153,Cleat,2
21575,116,Sink,1
21698,251,Sink,2
21723,279,Sink,1
21732,288,Sink,2
21939,509,Sink,2
22047,635,Sink,2
22110,701,Sink,1
22225,829,Sink,2
22249,856,Sink,2
22519,1156,Sink,2
22561,38,Joint,2
22566,43,Joint,1
22572,51,Joint,1
22579,59,Joint,2
22589,69,Joint,2
22622,141,Joint,2
22641,161,Joint,1
22645,166,Joint,1
22655,176,Joint,2
22688,214,Joint,1
22699,225,Joint,1
22749,280,Joint,1
22762,293,Joint,2
22765,296,Joint,2
22783,315,Joint,1
22785,317,Joint,1
22800,335,Joint,1
22801,336,Joint,2
22829,365,Joint,2
22845,382,Joint,2
22846,383,Joint,2
22865,402,Joint,1
22892,430,Joint,2
22908,447,Joint,1
22910,449,Joint,2
22913,453,Joint,2
22925,467,Joint,1
22949,494,Joint,1
22963,508,Joint,2
22988,536,Joint,2
22990,538,Joint,2
23012,561,Joint,1
23022,572,Joint,2
23053,612,Joint,1
23055,614,Joint,2
23059,619,Joint,2
23063,623,Joint,1
23136,703,Joint,2
23141,709,Joint,2
23143,712,Joint,2
23148,717,Joint,1
23158,728,Joint,2
23183,757,Joint,2
23219,796,Joint,2
23229,806,Joint,2
23245,824,Joint,1
23254,833,Joint,1
23257,836,Joint,2
23261,841,Joint,2
23263,844,Joint,1
23279,861,Joint,1
23298,881,Joint,2
23340,926,Joint,2
23342,928,Joint,2
23353,941,Joint,2
23364,952,Joint,2
23368,958,Joint,2
23380,970,Joint,2
23389,979,Joint,1
23396,986,Joint,2
23420,1012,Joint,2
23428,1020,Joint,1
23438,1032,Joint,1
23440,1035,Joint,1
23454,1049,Joint,1
23455,1050,Joint,1
23463,1060,Joint,1
23474,1071,Joint,1
23534,1142,Joint,2
23568,1189,Joint,1
23574,1197,Joint,1
23758,263,Arthropod,2
23810,317,Arthropod,1
23876,388,Arthropod,1
23930,444,Arthropod,2
24068,600,Arthropod,1
24083,618,Arthropod,2
24117,656,Arthropod,1
24237,789,Arthropod,1
24305,862,Arthropod,2
24451,1018,Arthropod,1
24558,1141,Arthropod,1
24769,247,Shade,1
24881,367,Shade,1
25052,550,Shade,2
25076,576,Shade,1
25124,637,Shade,1
25133,647,Shade,1
25242,766,Shade,1
25325,857,Shade,1
25604,1173,Shade,1
25611,1181,Shade,1
25929,391,Penguin,2
25969,432,Penguin,1
25970,433,Penguin,1
26014,484,Penguin,2
26051,523,Penguin,1
26188,677,Penguin,1
26339,845,Penguin,1
26475,991,Penguin,1
26495,1012,Penguin,1
26541,1063,Penguin,1
26727,146,Dog supply,1
26956,393,Dog supply,2
27004,443,Dog supply,1
27026,468,Dog supply,2
27114,563,Dog supply,1
27191,655,Dog supply,1
27235,701,Dog supply,1
27347,826,Dog supply,2
27366,847,Dog supply,1
27424,909,Dog supply,1
27751,145,Grey,1
27767,162,Grey,1
27772,168,Grey,1
27822,223,Grey,2
27823,224,Grey,2
27840,243,Grey,1
27848,251,Grey,2
27873,279,Grey,1
27888,294,Grey,1
27917,325,Grey,2
27921,329,Grey,1
27929,339,Grey,1
27934,344,Grey,2
27940,350,Grey,1
27955,366,Grey,1
27961,372,Grey,1
27962,373,Grey,2
27984,396,Grey,2
28010,423,Grey,1
28030,444,Grey,2
28107,529,Grey,1
28113,536,Grey,2
28115,538,Grey,2
28145,570,Grey,2
28205,643,Grey,1
28208,647,Grey,2
28217,656,Grey,1
28224,663,Grey,1
28252,693,Grey,2
28293,740,Grey,1
28294,741,Grey,1
28296,743,Grey,1
28345,797,Grey,1
28425,883,Grey,1
28441,901,Grey,1
28444,904,Grey,2
28446,906,Grey,2
28458,918,Grey,2
28465,926,Grey,2
28466,927,Grey,2
28542,1008,Grey,2
28556,1023,Grey,2
28559,1026,Grey,2
28588,1060,Grey,1
28593,1065,Grey,1
28614,1088,Grey,1
28618,1092,Grey,1
28623,1098,Grey,1
28657,1140,Grey,1
28756,122,Mobile device,1
28762,129,Mobile device,2
28771,139,Mobile device,1
28799,170,Mobile device,1
28811,182,Mobile device,1
28838,214,Mobile device,1
28845,221,Mobile device,1
28856,233,Mobile device,2
28891,271,Mobile device,1
28896,277,Mobile device,2
28903,284,Mobile device,1
28905,286,Mobile device,1
28915,296,Mobile device,1
28931,313,Mobile device,2
28934,316,Mobile device,1
28940,323,Mobile device,1
28955,340,Mobile device,2
28997,384,Mobile device,2
29022,410,Mobile device,2
29030,418,Mobile device,1
29035,423,Mobile device,2
29088,482,Mobile device,1
29162,561,Mobile device,1
29192,599,Mobile device,1
29195,602,Mobile device,2
29215,625,Mobile device,1
29228,641,Mobile device,2
29305,724,Mobile device,1
29322,744,Mobile device,1
29346,772,Mobile device,2
29385,812,Mobile device,1
29408,837,Mobile device,2
29412,842,Mobile device,2
29424,856,Mobile device,1
29463,898,Mobile device,1
29464,899,Mobile device,1
29467,902,Mobile device,1
29478,913,Mobile device,2
29501,938,Mobile device,1
29534,974,Mobile device,1
29570,1012,Mobile device,1
29635,1084,Mobile device,2
29641,1090,Mobile device,1
29645,1094,Mobile device,1
29652,1102,Mobile device,1
29657,1108,Mobile device,2
29664,1115,Mobile device,2
29671,1124,Mobile device,2
29708,1178,Mobile device,2
29713,1183,Mobile device,2
29818,163,Toy,1
29880,232,Toy,1
29952,309,Toy,2
29961,318,Toy,1
30037,399,Toy,1
30409,811,Toy,2
30485,894,Toy,2
30543,958,Toy,2
30544,959,Toy,1
30570,985,Toy,1
30765,42,Groundcover,2
30767,44,Groundcover,1
30787,67,Groundcover,1
30793,73,Groundcover,1
30794,74,Groundcover,2
30796,76,Groundcover,1
30835,154,Groundcover,1
30869,191,Groundcover,1
31049,386,Groundcover,1
31115,455,Groundcover,2
31148,493,Groundcover,2
31260,620,Groundcover,2
31407,783,Groundcover,1
31423,800,Groundcover,2
31448,827,Groundcover,1
31492,874,Groundcover,2
31570,960,Groundcover,2
31621,1013,Groundcover,1
31725,1128,Groundcover,1
31734,1142,Groundcover,2
31737,1145,Groundcover,1
31756,1176,Groundcover,1
31775,24,Wrist,2
31784,36,Wrist,2
31788,40,Wrist,1
31790,42,Wrist,2
31796,50,Wrist,2
31801,56,Wrist,2
31804,59,Wrist,2
31806,61,Wrist,1
31815,70,Wrist,2
31820,75,Wrist,2
31831,122,Wrist,1
31832,123,Wrist,1
31837,129,Wrist,2
31844,137,Wrist,1
31860,154,Wrist,2
31861,155,Wrist,1
31886,182,Wrist,2
31933,235,Wrist,1
31937,239,Wrist,1
31940,243,Wrist,1
31964,269,Wrist,1
32019,327,Wrist,1
32059,370,Wrist,1
32141,456,Wrist,1
32221,544,Wrist,2
32290,625,Wrist,1
32307,646,Wrist,2
32325,664,Wrist,1
32357,698,Wrist,1
32381,725,Wrist,1
32382,726,Wrist,2
32396,743,Wrist,2
32400,747,Wrist,1
32438,790,Wrist,2
32462,814,Wrist,2
32479,833,Wrist,2
32498,854,Wrist,1
32517,874,Wrist,1
32518,875,Wrist,1
32543,903,Wrist,2
32550,910,Wrist,2
32606,971,Wrist,2
32714,1088,Wrist,2
32718,1092,Wrist,2
32729,1104,Wrist,2
32731,1107,Wrist,1
32740,1116,Wrist,1
32743,1119,Wrist,2
32766,1153,Wrist,1
32793,1189,Wrist,1
32809,36,Table,2
32814,41,Table,1
32822,51,Table,1
32826,56,Table,2
32827,57,Table,2
32835,65,Table,1
32838,68,Table,1
32840,70,Table,2
32844,74,Table,2
32845,75,Table,1
32860,127,Table,2
32861,128,Table,1
32862,129,Table,1
32866,134,Table,1
32875,144,Table,2
32888,158,Table,1
32902,173,Table,2
32942,218,Table,1
32976,255,Table,2
32979,259,Table,1
32997,278,Table,2
33011,292,Table,1
33023,305,Table,2
33028,310,Table,1
33066,352,Table,2
33077,363,Table,1
33082,368,Table,1
33104,391,Table,1
33123,411,Table,1
33144,432,Table,1
33162,452,Table,2
33171,461,Table,1
33178,470,Table,1
33202,497,Table,2
33264,563,Table,2
33267,567,Table,1
33277,577,Table,1
33286,592,Table,1
33298,605,Table,1
33313,623,Table,1
33316,626,Table,2
33345,659,Table,1
33362,676,Table,1
33380,696,Table,1
33391,709,Table,1
33396,715,Table,2
33413,734,Table,2
33420,742,Table,2
33430,754,Table,2
33434,758,Table,1
33446,772,Table,2
33447,773,Table,1
33449,775,Table,1
33466,793,Table,1
33477,804,Table,1
33492,821,Table,2
33528,860,Table,2
33530,862,Table,2
33532,864,Table,1
33533,865,Table,1
33540,872,Table,1
33592,928,Table,1
33600,937,Table,1
33602,939,Table,2
33610,948,Table,1
33649,989,Table,1
33664,1005,Table,2
33685,1029,Table,1
33688,1032,Table,1
33726,1073,Table,1
33727,1074,Table,2
33734,1083,Table,1
33745,1094,Table,2
33755,1106,Table,1
33766,1117,Table,1
33794,1156,Table,2
33818,1189,Table,1
34132,394,Pork,1
34153,416,Pork,1
34190,455,Pork,2
34303,578,Pork,1
34305,580,Pork,1
34373,662,Pork,2
34406,697,Pork,1
34436,731,Pork,1
34526,830,Pork,1
34547,853,Pork,1
34812,1145,Pork,1
34850,24,Electric blue,1
34851,26,Electric blue,2
34852,27,Electric blue,1
34853,29,Electric blue,1
34854,30,Electric blue,2
34855,32,Electric blue,1
34856,33,Electric blue,1
34857,34,Electric blue,1
34858,35,Electric blue,1
34859,36,Electric blue,1
34860,37,Electric blue,1
34861,38,Electric blue,1
34862,39,Electric blue,1
34863,40,Electric blue,1
34864,41,Electric blue,2
34865,42,Electric blue,1
34866,43,Electric blue,2
34867,44,Electric blue,2
34868,45,Electric blue,2
34869,47,Electric blue,2
34870,49,Electric blue,1
34871,50,Electric blue,1
34872,51,Electric blue,1
34873,52,Electric blue,2
34874,53,Electric blue,2
34875,55,Electric blue,1
34876,56,Electric blue,2
34877,57,Electric blue,2
34878,58,Electric blue,2
34879,59,Electric blue,1
34880,60,Electric blue,2
34881,61,Electric blue,1
34883,63,Electric blue,1
34884,64,Electric blue,2
34885,65,Electric blue,1
34886,66,Electric blue,2
34887,67,Electric blue,1
34888,68,Electric blue,2
34889,69,Electric blue,1
34890,70,Electric blue,2
34891,71,Electric blue,1
34892,72,Electric blue,1
34893,73,Electric blue,2
34894,74,Electric blue,2
34895,75,Electric blue,2
34896,76,Electric blue,2
34897,78,Electric blue,1
34898,80,Electric blue,2
34899,115,Electric blue,1
34900,116,Electric blue,2
34901,117,Electric blue,1
34902,118,Electric blue,1
34903,119,Electric blue,1
34904,120,Electric blue,2
34905,121,Electric blue,1
34906,122,Electric blue,1
34907,123,Electric blue,1
34908,125,Electric blue,2
34909,126,Electric blue,2
